order_id,estimated_delivery_time,delivery_time
e5215415bb6f76fe3b7cb68103a0d1c0,1,
e5fa5a7210941f7d56d0208e4e071d35,52,
ddaec6fff982b13e7e048b627a11d6da,42,
966f96af9d189dc428ff04ebbca821b8,50,
1aecadf4362edaca7fa033e882076c8d,50,
65d1e226dfaeb8cdc42f665422522d14,52,35
770d331c84e5b214bd9dc70a10b829d0,52,7
dabf2b0e35b423f94618bf965fcb7514,51,7
8beb59392e21af5eb9547ae1a9938d06,52,10
4551b488487e6cfa31f9e35073d3c5d4,57,
620b0acb9258b51defbc51804c5298d5,62,
1f66f9bfd244a5383aeb00a84ad12a66,58,
2c45c33d2f9cb8ff8b1c86cc28c11c30,59,30
552e0a8dae101e32155120202f427b71,63,
dbbbc904081f8e928028432e2e3d7686,68,
bfd31c6f76ff82a41e7beb05565aec4d,70,
799dc0fd216e2a8e571a2684ddb6f940,78,
94bde44a48f191d7175f67eb93b9ed67,42,
697705c05da5ef945de721dd31bf23c6,52,
657467884d9a109179d820f67575db18,60,
0ed61f5ab3280ff43b157a6e91942538,43,
127f3dbf0dfc0da17005ba12e05d988c,49,
13bdf405f961a6deec817d817f5c6624,144,
7018a2cb4802de2f9ed4b09b6a98e6fd,44,
1def7af24cb7182497acfd953f6dd88b,60,
a20191650d84d1d59f72139a87207a3b,50,
36f66ebfbd144aa6fb39338bd87b0bf9,106,
0966b61e30c4a07edbd7523f59b3f3e4,41,
2ad4df0af7a71d632dccc0129bee3268,2,
5f0dfd096a455e93ffb4ee0635b32264,3,
a0f2f8b0523207a13f02225bc812ed23,2,
4b90912a086907b087947c385e8d13b1,4,
90eaac01afdf4e531a70ad869e092c75,61,
13d341318c77969f10d77e1382957542,6,
298787a86f7ed145b210dfa7262fca2f,6,
0b16257b1b7ee0922ea03954f2cae85a,2,
e49e7ce1471b4693482d40c2bd3ad196,2,
847e04c1fabd29748790e74c1430c603,6,
1118f05e23d1a8082fa47f8a377de658,5,
749309f96df588c96621963117e9530f,2,
3f6509ff22303ff04b9bf1b2c8bf69c6,3,
b3f1a526de73a85b4e83ac77cd483a05,48,
77afc8cdc7d93975016850b0b1b02c90,4,
d67b79fea59821fda4d363d337a56c3a,5,
9021cf1919f615a121410790dcce848f,48,
acfa87544c19d596707d25cf2f7dab61,4,
20e87d0bc3b241dd3b4d34a6446d013e,47,
ded456690bcb2ffd4def86541479037f,4,
dbe2d1c6c34f5c31bb6736e1720c9b7e,5,
b102b42cde7719ae4b7c0163cf4d7dbe,6,
4637ca194b6387e2d538dc89b124b0ee,6,
f86d7bc39aab05299691322044b63bb2,42,
129ea9ae4b85283decb23ea1756f505d,46,
7b417e4ab50fe706033d4fe21c659f3b,42,
85e05c3c9aa9834518f35d4f286014be,42,
cd3b8574c82b42fc8129f6d502690c3e,50,10
31b0dd6152d2e471443debf037ae171d,48,8
d207cc272675637bfed0062edffd0818,50,27
98974b076b01553d49ee6467905675a7,50,43
c4b41c36dd589e901f6879f25a74ec1d,50,36
a8c3f65a43b2e956cbfca10db4300853,50,15
79ffdd52a918bbe867895a4b183d6457,50,22
a041155864e5141116458291313b35c2,50,9
d2292ff2201e74c5db154d1b7ae68cbb,50,29
95e01270fcbae9863423400103359279,50,30
50013835d7b14aefb452825864d3e414,50,17
1ff217aa612f6cd7c4255c9bfe931c8b,50,20
6eb51c1c9c69f78ea9fd4665fb98b7d2,50,8
ed8c7b1b3eb256c70ce0c74231e1da88,50,44
d2d67121a09535b3a7b6a000e58d8625,50,8
5cc475c7c03290048eb2e742cd64cb5e,50,68
0a0837a5eee9e7a9ce2b1fa831944d27,50,18
f3f12fc90564a9b036680a887cd64668,50,28
60762802b48bb6d256d55b013d115013,50,27
6b3ee7697a02619a0ace2b3f0aa46bde,50,47
3b2ca3293a7ce539ea2379d704fa37ce,50,43
85841af0d94e5d0cd3a9c0e42e565b74,50,7
f716dffba1232aaef7c899fb8c14db97,48,7
719628a909505f12f342015fd53a8d43,50,13
b2f92b2f7047cd8b35580d629d7b3bfb,50,43
5c973d2b4652e1dec15353b59339f3b4,48,7
ef1b29b591d31d57c0d7337460dd83c9,52,28
