year,month,payment_type,total_no_orders_per_payment_type
2016,9,credit_card,3
2016,10,UPI,63
2016,10,credit_card,254
2016,10,debit_card,2
2016,10,voucher,23
2016,12,credit_card,1
2017,1,UPI,197
2017,1,credit_card,583
2017,1,debit_card,9
2017,1,voucher,61
2017,2,UPI,398
2017,2,credit_card,1356
2017,2,debit_card,13
2017,2,voucher,119
2017,3,UPI,590
2017,3,credit_card,2016
2017,3,debit_card,31
2017,3,voucher,200
2017,4,UPI,496
2017,4,credit_card,1846
2017,4,debit_card,27
2017,4,voucher,202
2017,5,UPI,772
2017,5,credit_card,2853
2017,5,debit_card,30
2017,5,voucher,289
2017,6,UPI,707
2017,6,credit_card,2463
2017,6,debit_card,27
2017,6,voucher,239
2017,7,UPI,845
2017,7,credit_card,3086
2017,7,debit_card,22
2017,7,voucher,364
2017,8,UPI,938
2017,8,credit_card,3284
2017,8,debit_card,34
2017,8,voucher,294
2017,9,UPI,903
2017,9,credit_card,3283
2017,9,debit_card,43
2017,9,voucher,287
2017,10,UPI,993
2017,10,credit_card,3524
2017,10,debit_card,52
2017,10,voucher,291
2017,11,UPI,1509
2017,11,credit_card,5897
2017,11,debit_card,70
2017,11,voucher,387
2017,12,UPI,1160
2017,12,credit_card,4377
2017,12,debit_card,64
2017,12,voucher,294
2018,1,UPI,1518
2018,1,credit_card,5520
2018,1,debit_card,109
2018,1,voucher,416
2018,2,UPI,1325
2018,2,credit_card,5253
2018,2,debit_card,69
2018,2,voucher,305
2018,3,UPI,1352
2018,3,credit_card,5691
2018,3,debit_card,78
2018,3,voucher,391
2018,4,UPI,1287
2018,4,credit_card,5455
2018,4,debit_card,97
2018,4,voucher,370
2018,5,UPI,1263
2018,5,credit_card,5497
2018,5,debit_card,51
2018,5,voucher,324
2018,6,UPI,1100
2018,6,credit_card,4813
2018,6,debit_card,182
2018,6,voucher,324
2018,7,UPI,1229
2018,7,credit_card,4755
2018,7,debit_card,242
2018,7,voucher,281
2018,8,UPI,1139
2018,8,credit_card,4985
2018,8,debit_card,277
2018,8,not_defined,2
2018,8,voucher,295
2018,9,not_defined,1
2018,9,voucher,15
2018,10,voucher,4
